"","County","PM10_mean","PM25_mean","NO2_mean","SO2_mean","O3_mean","CO_mean","TeCA","112TCA","DBCP","TDI","2Clacephen","2NP","PNP","CH3CN","Acetophenone","Acrolein","Acrylic_acid","C3H3N","Sb","Benzidine","Benzyl_Cl","Be","biphenyl","DEHP","Bromoform","Cd","CS2","CCl4","CS","Cl","C6H5Cl","chloroform","Chloroprene","Cr","Cresol","Cumene","CN","DBP","Diesel","DMF","Me2_phthalate","Me2SO4","ECH","Etacrylate","EtCl","EDB","EDC","EGLY","EOx","Glycol_ethers","HCB","HCBD","HCCPD","Hexane","N2H2","HCl","Isophorone","Pb","Mn","Hg","MeOH","MIBK","MMA","MeCl","Mehydrazine","MTBE","nitrobenzene","DMA","otoluidine","PAHPOM","PCP","PH3","P","PCBs","ProCl2","ProO","Quinoline","Se","Cl4C2","Toluene","C2HCl3","VyAc","VyCl","11DCE","Instances","Instance Rate"
"1","Alamance",14.832671948,13.383235772,786.63370759,277.03078714,7408.2560103,1612.4982686,0.0148522972,0.000002119681,0.000004127546,0.0038740051,0.000000041644728,0.000000079597826,0.0000512233,0.0001401424,0.0000256995,0.0437905724,0.0003018629,0.001518584,0.0001793333,0.0000010536456,0.0000191558,0.0000282267,0.000057835,0.5379298696,0.00000024257424,0.0000460051,0.001274374,0.4969833099,0.0000141881,0.0009055478,0.0003091693,0.0725828172,0.0000068099996,0.0003474746,0.0022181591,0.0010108409,0.0469378948,0.0000595911,0.5874638563,0.0022464765,0.0000190186,0.0000538709,0.0000035398239,0.0001949326,0.0027629533,0.0048047689,0.0109227193,0.2537665189,0.0039599248,0.0324962052,0.00000074735221,0.00000020149696,0.00000016118783,0.2123936844,0.0000046146045,0.3158511337,0.00000078056893,0.0016321458,0.000789831,0.0005235902,0.7323881844,0.2559896152,0.0001328365,0.9534968284,0.0000017539889,0.0811245737,0.000001796835,0.0000822678,0.00000089911256,0.0079319993,0.000001523349,0.0000100769,0.000005226793,0.0002051029,0.0064056387,0.0006830154,0.0000331674,0.000070099,0.1029135783,2.2441683998,0.0414638757,0.0011503439,0.0098164952,0.000121179,"1,121",531.7
"2","Alexander",15.587160246,12.615415594,925.3468323,279.2467971,7466.7363547,1448.1335169,0.0063161783,0.0001462445,0.0000026726274,0.0000596753,0.00000031236851,0.000000029764286,0.0000143505,0.0000437243,0.0000082828302,0.0253601686,0.0000022074831,0.0021166066,0.0000576765,0.0000002939667,0.0000018618425,0.0000202643,0.0000427248,0.5378352141,0.000001740515,0.000035049,0.0004614082,0.4967983459,0.0000010401592,0.0009531493,0.000066469,0.0561003648,0.0000028415759,0.000076594,0.0024016142,0.0003819578,0.028781808,0.0000991753,0.2935796978,0.000719142,0.000011431,0.0000023524115,0.00000056805802,0.0001088514,0.0010322404,0.000384968,0.0058484846,0.0312054549,0.0036751844,0.0344030639,0.0000008820432,0.000000096917312,0.000000079234893,0.063822217,0.0000180653,0.1984275781,0.0000013208734,0.0005070239,0.0010862141,0.0005175041,0.2205000719,0.0522005248,0.0000732384,0.8836539232,0.0000088428364,0.0222157315,0.00000078014345,0.0000299077,0.000000050264762,0.0095599495,0.0000015979043,0.0000149833,0.0000076283691,0.000209039,0.0027222448,0.0001089123,0.0000086769416,0.0000992034,0.0474772713,1.2184654734,0.0448553425,0.0005880119,0.0000630496,0.0000437193,"240",456.8
"3","Alleghany",13.708903759,12.129803152,996.06769295,277.01947905,7513.6169987,1337.0695643,0.0019501928,0.0000017618921,0.0000023486862,0.0004820798,0.000000000123781,0.000000012539333,0.0000055101245,0.0000177699,0.0000027243313,0.0107155482,0.0000033222778,0.0021127009,0.0000098361026,0.00000032090271,0.00000056557984,0.0000165961,0.0000175765,0.5376076237,0.0000000006900745,0.0000424167,0.0002044953,0.496723081,0.00000815741,0.0004674014,0.0000359851,0.0528083561,0.0000042728222,0.0001338415,0.0007650902,0.0001699077,0.0128469288,0.0000047805528,0.1994193363,0.0001815013,0.00000092923174,0.000000058628629,0.00000019646667,0.00000051598174,0.0003549335,0.0004292289,0.0024922376,0.009347108,0.0027874506,0.0134153386,0.00000036772384,0.0000000321,0.00000002568,0.0240853231,0.0000062070659,0.3351328639,0.00000022742419,0.0004983502,0.0005867621,0.0005096612,0.0716922831,0.0601855316,0.0000275027,0.8402104395,0.00000017915221,0.007542539,0.00000028213333,0.0000120567,0.000000029251,0.006443855,0.00000083807019,0.0000043768333,0.000000000686398,0.00016869,0.001135641,0.0001057244,0.0000240339,0.0000245055,0.0301722839,0.2489939644,0.0292456631,0.0000170453,0.0001394127,0.000023524,"69",339.2
"4","Anson",12.514014332,11.915160314,857.62762283,250.94589533,6349.4215261,1284.1489569,0.002936238,0.0000086098991,0.0000041433719,0.000071381,0.000000005769436,0.000000014374,0.0000060970187,0.0000193979,0.000004579117,0.0175156284,0.00000058517981,0.0015731666,0.0000054372817,0.00000041018808,0.000001755539,0.0000172756,0.0000344459,0.5379948091,0.000000087484884,0.0000301519,0.000455152,0.4968818927,0.0031880563,0.0006711642,0.0000374152,0.0543299601,0.0000016385333,0.0000732212,0.0008792479,0.0003054315,0.0155459705,0.0000409839,0.2526543047,0.0002679842,0.0000496104,0.00000011065417,0.00000027324335,0.0000052350628,0.0005499624,0.0002768772,0.0043557892,0.047007121,0.0036582031,0.0144527226,0.00000039903889,0.00000014522652,0.000000029411667,0.0441736988,0.0000196996,0.0444133952,0.0000070754893,0.0004493938,0.0005156956,0.0005069763,0.1075012353,0.0221924138,0.000035491,0.8413840621,0.0000105658,0.0278181578,0.00000032345,0.0000138567,0.00000012540955,0.0091324916,0.00000090285562,0.0000029526292,0.0000017683829,0.0001739472,0.0016609604,0.0000577862,0.000013266,0.0000168649,0.0396317958,0.5556501669,0.028268681,0.0001293916,0.0000297323,0.0000215274,"168",490.8
"5","Ashe",12.523020492,12.152638132,847.02933311,306.3097569,7263.2993949,1310.6001829,0.0035490536,0.00000029842443,0.0000021010962,0.0000757413,0.0000000000146735,0.000000012431429,0.0000057489901,0.000015208,0.000002817918,0.0105810523,0.00000029461907,0.0021952625,0.0000024515367,0.00000022028328,0.00000041525901,0.0000171276,0.0000174626,0.537603402,0.000000000095068,0.000042291,0.0001901655,0.4967202,0.00000063042088,0.0003028636,0.000028755,0.0524406711,0.0000282257,0.0001058939,0.0008409989,0.0002535994,0.0132259506,0.0000064515494,0.20648953,0.0001727076,0.00000086980112,0.000000057422159,0.00000019485714,0.0000001796927,0.000347437,0.0004230031,0.0039825011,0.0075183862,0.0028733241,0.0062787853,0.00000037671111,0.000000031862857,0.000000025485714,0.0314774567,0.0000055464069,0.2534159691,0.0000024048567,0.0004717517,0.0011277053,0.0005228818,0.0467802087,0.0227774605,0.0000467222,0.8404153025,0.00000078941487,0.0099040234,0.00000027968571,0.0000118686,0.000000026131143,0.0062841034,0.00000086240578,0.000003427974,0.0000084105805,0.0001705945,0.0018623699,0.0000580297,0.0000178899,0.0000242479,0.0247876526,0.2661633209,0.0312324102,0.0000147369,0.0000535781,0.0000184218,"189",401.7
"6","Avery",13.795065094,12.422300311,982.5059496,392.34961606,7103.129,1315.1606926,0.0022278074,0.00000025122173,0.0000019420286,0.0000847234,0.00000000001206,0.0000000149875,0.0000087494842,0.0000196859,0.0000042410286,0.0156389157,0.0000019198513,0.0025152105,0.0000012020708,0.00000012573001,0.00000063256505,0.0000190467,0.0000266089,0.537628853,0.0000000001037275,0.0000356523,0.0002362432,0.4967320099,0.0000048422063,0.0002943259,0.0000402451,0.0546377052,0.0000024964167,0.000071797,0.0011028286,0.0010335501,0.0188360069,0.0000200872,0.2527013039,0.0002387387,0.00000166495,0.000000069542143,0.0000002354,0.0000022315922,0.0006188745,0.0003913797,0.0031971038,0.028736766,0.0034269087,0.0030763509,0.0000005793012,0.000000093184681,0.000000079754068,0.0557129081,0.0000070340742,0.0364113577,0.0000085303713,0.0004530925,0.0022746808,0.0005071878,0.0999111569,0.032708332,0.0000149229,0.8418442586,0.000000004363694,0.0165989958,0.0000003617911,0.0000202701,0.0000000266425,0.0096501459,0.0000012346132,0.00000302665,0.0000458229,0.0001852556,0.0012242971,0.0000602553,0.0000070822654,0.0000279805,0.0288446198,0.4379033696,0.0364863455,0.0000874518,0.0002527784,0.0000248901,"98",357.7
"7","Beaufort",8.5658791045,9.8805231317,191.2170323,460.85097485,5050.391558,1312.1646232,0.0084438672,0.0000484563,0.0000041307116,0.0001237099,0.0000000055551825,0.0000000364088,0.0000198146,0.0001686626,0.0001432372,0.0145441241,0.0000027623518,0.0008788565,0.0000036443445,0.00000045933723,0.0000035438614,0.0000187402,0.000054182,0.5371732088,0.0000051779226,0.0000777634,0.0005526092,0.4975330329,0.00000063129781,0.001169557,0.0000751629,0.0614475917,0.000006662319,0.0000634451,0.0030033949,0.0005262178,0.0229797678,0.0001142702,0.1703209679,0.0007326773,0.0001508831,0.00000033746829,0.00000062686957,0.00000082280338,0.0010071653,0.0011402853,0.0067990856,0.4684891857,0.0013516228,0.0095739521,0.00000055271933,0.000000091912821,0.00000062213172,0.0916110641,0.0000646318,0.0328829793,0.0000015926888,0.0006800961,0.0004989926,0.0005166582,0.9676550671,0.3217062215,0.005709221,0.8447869931,0.0000017580971,0.0626366037,0.000000819167,0.0000382887,0.00000018731656,0.0067969678,0.0000012976182,0.0000128301,0.0000047933406,0.0001932467,0.0050587705,0.0001096653,0.00008936,0.0000267773,0.0387347268,0.9640071155,0.0492706611,0.000030737,0.0019740087,0.0000533545,"320",428.8
"8","Bertie",9.9135685016,10.558167526,279.30818129,554.31469777,7410.2946613,1973.7624128,0.0020271779,0.0001155137,0.000004210611,0.0001185947,0.000000010227546,0.00000000471175,0.0000019605432,0.0000997633,0.0001039496,0.0091432414,0.000000089339167,0.0011766879,0.0000032222785,0.00000059950994,0.0000027504374,0.0000146632,0.000095639,0.5371990252,0.000006425327,0.0000296196,0.0000964091,0.4980110479,0.0000102062,0.000508599,0.0000269158,0.0542636809,0.0000004507,0.0002320109,0.0004224641,0.000130048,0.0056650697,0.0000048839567,0.1470293763,0.0000793133,0.0000785131,0.00000013161257,0.0000000739675,0.00000023499333,0.0002092876,0.0002251873,0.0016569649,0.0107346686,0.001249257,0.1173807952,0.00000030152333,0.000000012371055,0.00000000969475,0.0255069555,0.0000674423,0.0294596741,0.000008105779,0.0005193537,0.001321358,0.0005085845,0.0577079405,0.0133867365,0.0003724712,0.8384387711,0.0000004824294,0.0087022086,0.0000001060075,0.0000048834443,0.000000021455543,0.0021420344,0.00000034325496,0.0000184125,0.0000024925253,0.0001441951,0.0032307341,0.0000197676,0.0001269523,0.0000096756126,0.0265446769,0.1679008811,0.014037443,0.0000048442055,0.0002194079,0.0000138888,"136",475.3
"9","Bladen",11.65697712,11.116479034,391.89734292,233.1716742,7302.7008379,989.44828632,0.0023738725,0.00000078536544,0.000003954117,0.0000210204,0.000000048695484,0.000000010703833,0.0000045906899,0.000289743,0.0000031515543,0.0131940365,0.00000010201949,0.0009489603,0.00000543591,0.00000044749863,0.0000097574223,0.0000245001,0.0000396089,0.537600885,0.00000017678613,0.0000371692,0.0001906505,0.4967201086,0.0000204887,0.0014435561,0.0000286831,0.0537256282,0.00000090875,0.0000534318,0.0014513079,0.0001235814,0.0099927272,0.0000099466603,0.1732506504,0.0004011487,0.0000118097,0.00000050205858,0.00000023898589,0.00000014156067,0.0003331231,0.0002095054,0.0039040131,0.0103941154,0.0019266931,0.0030715593,0.00000026404125,0.00000002737,0.000000021895,0.0295949315,0.0000013723885,0.1307510665,0.00000068609069,0.0005644978,0.000823843,0.0005074342,0.0796085281,0.0128967613,0.0000705621,0.839505191,0.0000028066808,0.0153461189,0.0000002408,0.0000102944,0.00000040106168,0.0038780161,0.00000070951274,0.0000025389708,0.0000034460232,0.0001582872,0.0018638106,0.0000377907,0.0000324158,0.0000324307,0.0392711047,0.4744207675,0.0164567533,0.0000372585,0.0000550888,0.0000169117,"235",490
"10","Brunswick",9.1238682173,10.036045967,271.00269076,197.89033152,7983.0408397,1053.4530679,0.0085874385,0.0000070444656,0.0000029975512,0.0000302739,0.00000011326319,0.000000016622264,0.0000130255,0.0000242005,0.000006626263,0.0143988058,0.0000029302726,0.0007508276,0.000036642,0.00000022354108,0.0001861065,0.0000186756,0.0000849201,0.5371870788,0.0000004109009,0.0000362501,0.0002822821,0.4783026686,0.0000320891,0.0101052018,0.0000365532,0.074293499,0.0000043332203,0.0000656706,0.001857332,0.0006847649,0.0181527248,0.0004093415,0.1874704104,0.0004951845,0.0000680656,0.00000085140191,0.00000044539692,0.00000069452276,0.0008284627,0.0012427133,0.0077313647,0.1308969165,0.0014673983,0.0025639301,0.0000003978135,0.000000042325298,0.000000033856773,0.0581748655,0.00000011556883,0.4260366256,0.0000075487237,0.000611747,0.0010591246,0.0005305233,0.3743845457,0.0346168677,0.0022338603,0.8398328908,0.0000019251149,0.0221634303,0.00000037401955,0.0000165093,0.000000046797506,0.0065450331,0.0000044832616,0.000002729745,0.000000059079346,0.0001796176,0.0036191134,0.0000589922,0.0000246889,0.000043718,0.0362232443,0.6988696922,0.0215838032,0.0000423912,0.0022808739,0.0000246546,"1,232",473.6
