"","County","PM10_mean","PM25_mean","NO2_mean","SO2_mean","O3_mean","CO_mean","TeCA","112TCA","DBCP","TDI","2Clacephen","2NP","PNP","CH3CN","Acetophenone","Acrolein","Acrylic_acid","C3H3N","Sb","Benzidine","Benzyl_Cl","Be","biphenyl","DEHP","Bromoform","Cd","CS2","CCl4","CS","Cl","C6H5Cl","chloroform","Chloroprene","Cr","Cresol","Cumene","CN","DBP","Diesel","DMF","Me2_phthalate","Me2SO4","ECH","Etacrylate","EtCl","EDB","EDC","EGLY","EOx","Glycol_ethers","HCB","HCBD","HCCPD","Hexane","N2H2","HCl","Isophorone","Pb","Mn","Hg","MeOH","MIBK","MMA","MeCl","Mehydrazine","MTBE","nitrobenzene","DMA","otoluidine","PAHPOM","PCP","PH3","P","PCBs","ProCl2","ProO","Quinoline","Se","Cl4C2","Toluene","C2HCl3","VyAc","VyCl","11DCE"
"1","Autauga",15.072996226,12.058188137,123.65764816,10.661088423,522.38176744,4.4632250049,0.0117679665,0.0063940294,0.00000086666667,0.0003074467,0,0.000000069553909,0.0000371992,0.0000818892,0.0150305963,0.0547169559,0.000000028910303,0.0072332243,0.0000175668,0.0000000066,0.000001937,0.0000438279,0.0000604418,0.5370980612,0,0.000046033,0.0080796754,0.5011442399,0.0002001115,0.0000373274,0.0003441316,0.0623736913,0.0000054757182,0.0011701615,0.0171154936,0.0023839474,0.0548147696,0.000112402,0.3885560442,0.0018470164,0.0000214067,0.00000031591091,0.0000010827818,0.00000041624,0.0157117877,0.0031311626,0.0104061195,0.1218443582,0.0015003986,0.0065576738,0.000001279497,0.00000017553455,0.00000014041091,0.1568925538,0.000000086907526,0.1383907666,0.000000001023073,0.0009507804,0.0008670594,0.0005120944,0.9654712678,0.2448235892,0.0010681669,0.9224996802,0,0.0601520706,0.0000015654364,0.0000723795,0.00000027070067,0.0108072393,0.0000209035,0.0000023882727,0,0.0002792133,0.0041385757,0.0002530912,0.0001560399,0.0001098104,0.0551199936,1.4315883043,0.0403584487,0.0002582423,0.0060354099,0.0002501273
"2","Baldwin",19.994603348,11.119908741,247.74225267,17.146846827,540.78910553,12.875833095,0.0117740052,0.00000064761884,0.00000086666667,0.0002722434,0.00000010588723,0.000000027772217,0.0000185704,0.0004423717,0.0000097391762,0.0655767201,0.000512639,0.0021328022,0.0000034179627,0.000000093588158,0.0000078716777,0.0000263977,0.0000842194,0.5372046453,0.00000060385206,0.0000369512,0.0010945783,0.5025072306,0.0000539112,0.0017413468,0.0000907786,0.0917948421,0.000002363129,0.0003702359,0.0020431653,0.0010696821,0.0210685358,0.0000272364,0.4282780632,0.0005392346,0.000006777913,0.00000087482203,0.0001331849,0.0000808128,0.0009160785,0.003027465,0.0112065143,0.0420055377,0.0035013015,0.0030094039,0.00000060446391,0.000000072177052,0.000000056839087,0.1167030762,0.0000011705653,0.1417103094,0.000029183,0.0014055352,0.0006788524,0.0005248871,0.1243723419,0.1349622969,0.0010135128,0.874006726,0.0000179303,0.033964106,0.0000024032151,0.0000457552,0.000000066044044,0.0119420352,0.0000010025043,0.0000008462087,0.00000039753616,0.0001792249,0.004183678,0.0001393586,0.0000116209,0.0000614165,0.075250858,1.4070867258,0.0187891735,0.0000811526,0.0062061226,0.0000416626
"3","Barbour",15.772306465,12.3604537,183.19362441,23.257118443,896.42302368,19.620538691,0.0064466056,0.00001935,0.00000096555004,0.0000809909,0,0.000000017201111,0.0000076307778,0.0000211246,0.0000091180503,0.0464739955,0.00000065133704,0.0032792223,0.0000051879086,0.0000000066,0.00000050711186,0.0000144321,0.0000281034,0.5370317044,0,0.0000358638,0.0005126282,0.4967984256,0.0000448772,0.000252037,0.0001818477,0.0525150701,0.0000020228519,0.0000752673,0.0007291514,0.0002465957,0.0140271162,0.0000833726,0.1997245577,0.00031928,0.0000043660772,0.000000078183333,0.00000026790222,0.0025876418,0.0004833662,0.0002816558,0.0057008193,0.0347975244,0.001469234,0.0027895719,0.00000040565481,0.000000043454444,0.000000034752222,0.0792653741,0.000000098615264,0.0262391027,0.0000026587323,0.0009776435,0.0022103052,0.0005050771,0.1661176715,0.2292771536,0.0000470925,0.8443390482,0,0.0170001864,0.00000038704333,0.0000177949,0.00000028139354,0.007733157,0.00000098467778,0.0000251392,0.0000094065625,0.0001732866,0.0023904655,0.0000694453,0.0000095948545,0.0000193711,0.0367860821,0.9152595794,0.0233110223,0.0000525192,0.0000418689,0.0000259325
"4","Bibb",14.921319112,12.239906361,127.77993545,7.6309533856,563.47732948,2.9519755921,0.0019150802,0.000088792,0.00000086666667,0.0000803795,0.00000010216013,0.000000010839667,0.0000035496667,0.0000133303,0.000016719,0.0282569054,0.0000094895956,0.0094026381,0.000004488938,0.0000000066,0.0000067559436,0.0000197349,0.000010159,0.5370728221,0.0000016351813,0.0000461759,0.0002250231,0.4967216106,0.0005231314,0.0002555802,0.0000284927,0.0528832835,0.00000085876667,0.0001416096,0.001765565,0.0007101364,0.009612868,0.0000102426,0.2117407101,0.0001448778,0.0000467633,0.00000071356477,0.00000017116667,0.000000076363334,0.0004333377,0.0004023398,0.0019753563,0.0203944373,0.0013758795,0.0111176994,0.00000028202238,0.000000028283333,0.000000022626667,0.0454822132,0.00000010670131,0.0426980086,0.0001677942,0.0009574099,0.0020851412,0.0005130169,0.05177776,0.0629169338,0.0000169894,0.8429912762,0.0000023469023,0.0223748892,0.0000002439,0.0000095883333,0.0000016584308,0.0112954225,0.0000693686,0.0000008425,0,0.0001495467,0.0003433974,0.0000868513,0.0000476702,0.000022697,0.0314336064,0.3624979905,0.0260731915,0.0000440201,0.0001232253,0.0000221705
"5","Blount",17.895014517,12.974280825,95.198093959,8.9137953499,561.93518525,9.3622154736,0.0045582126,0.00000082543758,0.00000086666667,0.0001857986,0.000000096576067,0.00000002326625,0.0000087259993,0.000028622,0.0000168449,0.0245961516,0.0000003520403,0.0161995588,0.0000010812927,0.000000012760861,0.0000068419198,0.0000291116,0.0000308885,0.537092024,0.0000011559836,0.0000527715,0.0004291791,0.4967718644,0.0015511281,0.0000816191,0.0000668863,0.0530323352,0.0000020668708,0.0000894276,0.0021892447,0.0005017258,0.0221277708,0.0000176911,0.3000996331,0.0003694721,0.0000422828,0.00000074290418,0.00000036565,0.0000055962474,0.0008921095,0.0004983841,0.0046354736,0.0413333232,0.0015080439,0.0120204335,0.0000005996713,0.00000006002125,0.00000004801875,0.0821042187,0.0000020844707,0.0205022558,0.0000241916,0.000678371,0.0006229465,0.000513295,0.0880130936,0.116334285,0.0004836041,0.8462601572,0.0000022484773,0.0373187803,0.0000005234375,0.0000340871,0.00000087772113,0.0075412516,0.00000135,0.0000022805,0.000000019532685,0.0001933383,0.0017270628,0.0001526119,0.0001831256,0.000019792,0.0462814488,0.8643410869,0.037564721,0.0001005717,0.0004782879,0.0000465
"6","Bullock",15.947660932,12.161147116,172.55000678,21.086399801,652.28221243,15.363596571,0.001899013,0.0000310031,0.00000090492272,0.0000184706,0.000000000390022,0.0000000048485,0.0000015165,0.0000059989707,0.0000092224973,0.1038530929,0.000000026573403,0.0043958297,0.0000217866,0.0000000066,0.00000014169267,0.0000127552,0.0000340696,0.5370737335,0.000000010631326,0.0000498227,0.0007281479,0.4967288054,0.0001304504,0.0000624273,0.0000414963,0.0501024658,0.00000038714167,0.0000531564,0.0006612662,0.0000926402,0.0042061202,0.0000062658622,0.1605300841,0.0000660933,0.0000017481402,0.00000002259,0.000000076315,0.0001253604,0.0001888941,0.000312185,0.0017759912,0.0086796733,0.0014673517,0.0007713003,0.0000001398614,0.00000001254875,0.00000001003975,0.0251613873,0.000000086704702,0.0098946013,0.0000261692,0.0006747424,0.0007050582,0.0005041454,0.0308543194,0.0246444043,0.0000297955,0.8492612086,0,0.0086897474,0.0000001090925,0.000004387,0.00000031593723,0.0159664608,0.0000002027775,0.00000276775,0.0000033813788,0.0001368316,0.0003364507,0.0000414657,0.000019749,0.0000050125558,0.0242920788,0.269727183,0.0206984489,0.0000197777,0.000088996,0.0000091510852
"7","Butler",13.17690205,11.658882625,134.1369957,13.831403113,578.70347361,8.0189674864,0.006969384,0.00000012377239,0.00000086666667,0.0001183706,0,0.000000016901,0.0000076935378,0.0000205389,0.0000056437786,0.0272739447,0.0000001008212,0.003821059,0.0000010645716,0.0000000074079753,0.00000048538556,0.0000138287,0.0000227337,0.5370853922,0,0.0000295802,0.0003107171,0.4967372437,0.0000156045,0.0001075515,0.0000431228,0.0513437173,0.0000014649889,0.0000597269,0.0004311545,0.0004670146,0.0181632674,0.0000265881,0.2068957711,0.0003952819,0.0000050474444,0.000000076598889,0.00000026283778,0.00000012329296,0.000679808,0.0004091017,0.006485575,0.0275799647,0.0015258778,0.0016237507,0.00000059078186,0.000000042558778,0.000000034041778,0.0860189571,0.000000086832507,0.0122493141,0,0.0004445801,0.0009833271,0.0005035144,0.0922886287,0.043826434,0.0000598137,0.844409445,0,0.0512178098,0.00000038021778,0.0000177649,0.000000072426296,0.0063234439,0.0000120212,0.0000015412222,0.00000017876744,0.0001956238,0.0025708633,0.0000695349,0.0000173906,0.000011767,0.0300807061,0.5052663941,0.0204527996,0.0000629811,0.0001385941,0.0000321723
"8","Calhoun",16.170320949,13.149517108,176.69213907,22.162485995,531.52721395,25.999518829,0.0144968218,0.0000019729335,0.00000086718144,0.0021566489,0.000000037273061,0.000000049538286,0.0005578641,0.0000618574,0.0000633493,0.0514367712,0.0000020028297,0.0126178155,0.0000250011,0.00000022946352,0.0000027644277,0.0000257432,0.0048652474,0.5371018268,0.0000027871398,0.0000749434,0.0010128988,0.4969451183,0.0001035667,0.0000263015,0.0001296353,0.0599768285,0.0000045186119,0.0020083548,0.0014848571,0.0016511754,0.0381759037,0.0000565671,0.4997532304,0.001340881,0.000106191,0.00000036192606,0.00000077287143,0.0000004118875,0.0019737273,0.0045866615,0.0103691484,0.1370988619,0.003059963,0.0094937526,0.00000061402093,0.00000012555411,0.00000010045171,0.2443573788,0.00000053872711,0.0389183197,0.0000406642,0.0024618354,0.0008601133,0.000513211,0.2216264458,0.7583984688,0.0001995922,0.8671163868,0.00000048112398,0.0945254923,0.0000011148011,0.0000903169,0.0000031179921,0.009241426,0.0000013101357,0.0000031465464,0.00000015169127,0.0001925442,0.0049608367,0.0002485546,0.0000255099,0.0000550168,0.0472499119,2.059606018,0.0749782622,0.0002878945,0.0096711747,0.0001008884
"9","Chambers",13.965673988,12.311209973,198.96216918,39.795169765,634.02587791,22.577125445,0.0098394354,0.00000016508296,0.00000088332136,0.0004047394,0.00000011794572,0.000000032031333,0.000014186,0.000040613,0.000128421,0.0347006523,0.0000048295651,0.0070418766,0.00000061555693,0.0000000066,0.0000014558165,0.0000200117,0.0000334108,0.5371161274,0.0000023175444,0.0000483569,0.0013340732,0.4968044484,0.0001716936,0.0000685412,0.0000679143,0.0554672367,0.0000026526667,0.000220315,0.0012077674,0.0009098189,0.02955463,0.0000761684,0.3186708975,0.0008711679,0.0000237128,0.00000016447124,0.0000064987025,0.0002055076,0.0011827464,0.0020941089,0.0076636952,0.0731997757,0.00239135,0.0053676819,0.00000076309469,0.000000081215556,0.000000064968889,0.1034523292,0.000000088016458,0.3539911958,0.0006706769,0.0006766922,0.0008616144,0.0005075024,0.1819739591,0.1043190801,0.0001679008,0.8546324562,0.000000064809056,0.0418720487,0.00000072057778,0.0000325087,0.0000144181,0.0064987019,0.0000016941333,0.0000218311,0,0.0002073756,0.003494107,0.0001812873,0.0000168529,0.0000339816,0.0480029223,1.0952178513,0.0336197564,0.0003213604,0.0037928954,0.0000964848
"10","Cherokee",16.779732625,13.437240635,221.71586877,34.67909386,838.1427024,80.696299033,0.0023176244,0.00000075451172,0.00000087505947,0.0001133651,0.00000012323471,0.00000001544,0.0000087466564,0.0000190854,0.000023833,0.0232588856,0.000002133076,0.0123717712,0.000004960319,0.00000001083672,0.0000082226003,0.0000214911,0.0000227459,0.5370841456,0.0000016983274,0.0000397643,0.0003338929,0.4975085227,0.0000225303,0.0000100244,0.0000352711,0.0553938549,0.00000143082,0.0000873899,0.0011271679,0.0002672547,0.014459806,0.0000124296,0.2761520328,0.000209684,0.0000324243,0.00000087178472,0.00000044707281,0.00000014542933,0.0004401884,0.0005146086,0.0032688855,0.0270319694,0.002227512,0.0095977096,0.00000045477094,0.000000039714,0.000000031772,0.0756555478,0.00000075043134,0.1457572828,0.0000272928,0.0005872124,0.0008031091,0.0005055586,0.1147284402,0.06220822,0.0000305274,0.8414314194,0.0000028344127,0.0176503492,0.00000034744,0.0000343075,0.0000013675793,0.0057304839,0.00000098978,0.0000136144,0.00000076914846,0.0001731027,0.00102462,0.0000914775,0.0000204599,0.0000315152,0.0249828927,0.5391974146,0.0400686299,0.0000472289,0.0000360713,0.0000253355
