"","County","HWYPROP","RYPROP","fatal_rate","pct_pub_transport","rate_al_pn_gm_env","rate_ent_env","rate_ed_env","rate_food_env_neg","rate_food_env_pos","rate_hc_env","rate_rec_env","rate_trans_env","rate_civic_env","to_unit_rate","Instances","Instance Rate"
"1","Alamance",0.01873504,0.13658245,0.0003823,0.1,0.0002752,0.0003899,0.0005734,0.0010703,0.0019878,0.0026911,0.0002446,0.0000688,0.0000459,0.0118119,"1,121",531.7
"2","Alexander",0,0.06416643,0.0002678,0,0.0001488,0.0001786,0.0004166,0.0006845,0.0015772,0.0014284,0.0002678,0.0000595,0.0000595,0,"240",456.8
"3","Alleghany",0,0.14112122,0,0.5,0.0001873,0.000562,0.0006556,0.0006556,0.0031844,0.0031844,0.0001873,0.0001873,NA,0,"69",339.2
"4","Anson",0.04267855,0.12082664,0.0004748,0.2,0.0001187,0.0001978,0.0005539,0.0007517,0.0014243,0.0015826,0.0000791,0.0001187,0.0000396,0.0121068,"168",490.8
"5","Ashe",0,0.11089986,0.000123,0,0.000123,0.0007792,0.0005741,0.0006972,0.0018865,0.0020505,0.0002051,0.000082,0.000082,0,"189",401.7
"6","Avery",0.00289106,0.11895644,0.0002913,0.2,0.0000583,0.0004078,0.0005825,0.0014563,0.0030291,0.0024466,0.000466,0.0001165,0.0001748,0,"98",357.7
"7","Beaufort",0.0145993,0.13185149,0.0010454,0.5,0.0001779,0.0005561,0.0006006,0.0008675,0.0016682,0.0024467,0.0003336,0.0000667,0.0001112,0.0189733,"320",428.8
"8","Bertie",0.07809304,0.19538676,0.0006069,0.3,0.0001517,0.0001011,0.0006069,0.000708,0.002023,0.0015172,0.0001517,0.0001011,0.0000506,0,"136",475.3
"9","Bladen",0,0.25403051,0.0010533,0.5,0.0000929,0.0000929,0.0005267,0.0009604,0.00158,0.0017659,0.0000929,0.0000929,0.0000929,0.0119586,"235",490
"10","Brunswick",0.05456579,0.08176699,0.0006562,0.6,0.0003555,0.0002324,0.0004375,0.0011758,0.0017773,0.0019551,0.0003555,0.000082,0.0000137,0.0064531,"1,232",473.6
"11","Buncombe",0.04568255,0.11513141,0.0002763,0.8,0.0002569,0.0007125,0.0007173,0.000979,0.0023118,0.0037804,0.000189,0.0001018,0.0001599,0.0140018,"1,669",465.4
"12","Burke",0.03947342,0.15371453,0.0005272,0.2,0.0001234,0.0002356,0.0004487,0.0009647,0.0015368,0.0026361,0.000157,0.0000897,0.000101,0.0041841,"617",471.3
"13","Cabarrus",0.01662656,0.19199148,0.0003739,0.4,0.0001144,0.0004196,0.0004654,0.0008774,0.0018693,0.0025179,0.0001831,0.0000916,0.0000839,0.0054554,"1,122",493.9
"14","Caldwell",0.03896133,0.08051897,0.0004263,0,0.0000775,0.0003875,0.0005554,0.0009171,0.0017568,0.0021185,0.0001292,0.0000388,0.0000775,0.0020409,"574",486.6
"15","Camden",0.07468498,0.16579119,0,0.4,NA,NA,NA,0.0002905,0.0010167,0.0004357,0.0001452,0.0001452,NA,0,"38",268.8
"16","Carteret",0,0.17270467,0.0005052,0.3,0.0001516,0.0002863,0.0005894,0.0007915,0.0017345,0.0021555,0.0006062,0.0000674,0.0000337,0.0091609,"560",473
"17","Caswell",0.01489891,0.15665354,0.0007659,0.3,0.0001277,0.0001702,0.0005532,0.0006808,0.0011914,0.0010212,0.0000851,0.0000851,0.0001277,0.0113612,"175",507.3
"18","Catawba",0.03913747,0.12234139,0.0003529,0.3,0.0002753,0.0003529,0.0005435,0.0009528,0.002315,0.0031761,0.000247,0.000127,0.0000635,0.0125419,"1,001",481
"19","Chatham",0.05928513,0.15373486,0.0009933,0.2,0.0001419,0.0003446,0.0007095,0.0006082,0.0012569,0.0019056,0.0002838,0.0000811,0.0000811,0.0093251,"545",468
"20","Cherokee",0.06996503,0.08236265,0.0005762,0.1,0.0001235,0.0006173,0.0004527,0.0010289,0.0020166,0.003169,0.0003292,0.0001235,0.0000412,0.0248169,"219",448.8
"21","Chowan",0.04555934,0.15653063,0.0011703,0.5,0.0000688,0.0005507,0.0008261,0.0007573,0.0017899,0.0028225,0.0004131,0.0000688,0.0002754,0.1166873,"87",361.6
"22","Clay",0,0.11280843,0.0002279,0.2,NA,0.0007977,0.0003419,0.0014815,0.0007977,0.0038746,0.0002279,NA,0.000114,0,"70",358
"23","Cleveland",0.00981574,0.15312735,0.00027,0.1,0.0001558,0.0002493,0.0006439,0.0010593,0.001724,0.0023679,0.0001246,0.0001142,0.0000519,0.0043827,"668",518.5
"24","Columbus",0.06175331,0.13880977,0.000621,0.2,0.0001644,0.0002374,0.000621,0.0008037,0.0017169,0.0021918,0.0002009,0.0000731,0.0000365,0.0095162,"329",416.2
"25","Craven",0.05203888,0.13404652,0.0005031,0.6,0.0002297,0.0003718,0.0004484,0.0007437,0.0016296,0.0024279,0.0002187,0.0001312,0.0000766,0.0159565,"682",505.3
"26","Cumberland",0.03961948,0.1337334,0.000439,0.8,0.0002509,0.0002013,0.0007856,0.0006568,0.0012807,0.0018814,0.0001518,0.0000759,0.000066,0.0084004,"1,400",433.5
"27","Currituck",0,0.15939146,0.0005498,0.4,0.0002749,0.0003299,0.0004948,0.0010995,0.0024739,0.0009346,0.0006047,0.0001649,0.0001649,0,"70",192.5
"28","Dare",0,0.22259496,0.0005339,0.1,0.0003003,0.0010678,0.0005006,0.0009344,0.0031702,0.0019355,0.000901,0.0002336,NA,0,"206",366
"29","Davidson",0.03682543,0.11536158,0.0004958,0.3,0.0001698,0.0002241,0.0005229,0.0006859,0.0013447,0.0017182,0.0001562,0.0000611,0.00000679,0.0078033,"1,107",492.9
"30","Davie",0.04810358,0.11652276,0.0006028,0.1,0.0001148,0.0002297,0.0004019,0.0007177,0.0014928,0.001665,0.0001435,0.0000574,0.0000861,0,"297",482.8
"31","Duplin",0.05518272,0.13682521,0.000856,0.1,0.0000611,0.0001834,0.000693,0.0007338,0.0016917,0.0018344,0.0001019,0.0001427,0.0000408,0.0004076,"298",376.5
