"","County","HWYPROP","RYPROP","fatal_rate","pct_pub_transport","rate_al_pn_gm_env","rate_ent_env","rate_ed_env","rate_food_env_neg","rate_food_env_pos","rate_hc_env","rate_rec_env","rate_trans_env","rate_civic_env","to_unit_rate"
"1","Autauga",0.06337673,0.1036773,0.0006412,0.2,0.0001603,0.0003206,0.0003664,0.0008014,0.0013739,0.0016487,0.0000458,0.0000229,0.0000916,0.0033432
"2","Baldwin",0.04583547,0.13073813,0.0004772,0.3,0.0002777,0.0003988,0.0004273,0.0008831,0.001987,0.0030624,0.0003134,0.000057,0.0000499,0.0033828
"3","Barbour",0.04694831,0.16668059,0.0004477,0.2,0.0002411,0.0001033,0.0003444,0.0009643,0.0016186,0.0021351,0.0001378,0.0001378,0.0001033,0.0292376
"4","Bibb",0.03656254,0.1168131,0.0005282,0.5,0.0001921,0.000096,0.0001921,0.0003361,0.0009603,0.0010084,0.000048,0.000048,0.000048,0.0033612
"5","Blount",0.00823775,0.12058011,0.0006664,0.2,0.0001176,0.0002156,0.0001764,0.000588,0.0011955,0.0012543,0.000098,0.0000588,NA,0.0043117
"6","Bullock",0,0.26881516,0.0004268,0,0.0002561,NA,0.0002561,0.0011098,0.0015366,0.0018781,0.0000854,NA,NA,0
"7","Butler",0.05748593,0.15097194,0.0021496,0.1,0.0001869,0.0000935,0.0004206,0.0008879,0.0014954,0.001916,0.0002804,0.0000935,0.0000935,0.0224777
"8","Calhoun",0.03309822,0.13529102,0.0004187,0.5,0.0003296,0.0003207,0.0003207,0.0009532,0.0016927,0.0029577,0.0002049,0.0001069,0.0000713,0.014842
"9","Chambers",0.04455989,0.126449,0.00041,0.3,0.0001367,0.0001367,0.000328,0.0005194,0.0015854,0.0024055,0.0001913,0.0000273,0.0000273,0.0141322
"10","Cherokee",0.03816382,0.12082187,0.0011256,0.2,0.0001668,0.0002084,0.0002918,0.0008338,0.0018759,0.0019176,0.0003752,0.0000417,NA,0
"11","Chilton",0.04774084,0.11376124,0.0004799,0.2,0.0003536,0.0001515,0.0002273,0.0006314,0.0017932,0.0014902,0.0001515,0.0000253,0.000101,0.0044957
"12","Choctaw",0.02016671,0.20174723,0.0005024,0.8,0.0003768,0.0000628,0.0004396,0.0009421,0.0013817,0.0014445,0.0002512,NA,0.0000628,0
"13","Clarke",0.06944,0.10964713,0.0003588,0.3,0.0001794,0.0002153,0.0002512,0.0010048,0.0020813,0.0028708,0.0000359,0.0001077,0.0000359,0
"14","Clay",0,0.13869277,0.0003508,0.3,0.0001403,NA,0.0004209,0.0006314,0.001824,0.0012628,0.0001403,0.0000702,0.0000702,0.0312193
"15","Cleburne",0.06310859,0.161161,0.001841,0.3,0.0000708,0.0001416,0.000354,0.0008497,0.0012745,0.0010621,0.0002124,NA,NA,0.0024074
"16","Coffee",0.03034497,0.13655263,0.0001146,0.2,0.0002293,0.0003439,0.0004815,0.0007795,0.0013298,0.0023845,0.0001834,0.0000917,0.0000459,0.014307
"17","Colbert",0.07759764,0.08589217,0.0007275,0.2,0.0003819,0.0003637,0.0003456,0.0007093,0.0021279,0.00311,0.000291,0.0000727,0.0000182,0.0177324
"18","Conecuh",0.08737235,0.19373937,0.0009227,0.1,0.000142,NA,0.000142,0.0006388,0.0011356,0.0013486,0.000071,NA,NA,0.0177443
"19","Coosa",0.03578118,0.12873343,0.0008195,0.4,0.0003278,0.000082,0.0001639,0.0004917,0.0003278,0.0006556,0.000082,NA,NA,0.0032782
"20","Covington",0.04185207,0.11231463,0.0006909,0.1,0.000186,0.000186,0.0004783,0.0009832,0.0019133,0.0027903,0.0002657,0.0001063,0.0000797,0.0114799
"21","Crenshaw",0,0.16916645,0.000805,0.1,0.0001464,NA,0.0002927,0.0010245,0.0017563,0.0014636,0.0004391,NA,0.0000732,0.0176363
"22","Cullman",0.03165522,0.11760225,0.0007227,0.2,0.0001162,0.0001678,0.0003227,0.0007744,0.0016391,0.0024263,0.0003485,0.0000645,0.0000516,0.0072274
"23","Dale",0.05701615,0.12744112,0.0005496,0.5,0.0003053,0.0002443,0.0004885,0.0006921,0.0010381,0.0016691,0.0002239,0.0001628,0.0000814,0.0190519
"24","Dallas",0.04667956,0.12549113,0.0005608,0.9,0.0001725,0.0001725,0.0004314,0.000949,0.0012725,0.0025019,0.0001725,0.0001725,0.0001078,0.0355656
"25","DeKalb",0.05166332,0.10713968,0.0006361,0.2,0.0001552,0.0001862,0.0004344,0.0007137,0.0018463,0.002017,0.0002017,0.0000465,0.0000776,0.0068888
"26","Elmore",0.00982887,0.12734043,0.0007894,0.2,0.0001973,0.0001366,0.0003492,0.0005769,0.0013359,0.0014421,0.0001063,0.0000152,0.0000607,0.0025503
"27","Escambia",0.0449799,0.14636378,0.0009886,0.7,0.0002862,0.0001041,0.0003642,0.0012747,0.0016649,0.0019771,0.0001561,0.000026,0.0001041,0.0064516
"28","Etowah",0.0540788,0.12141977,0.0004833,0.1,0.00029,0.0003673,0.0004543,0.0008892,0.0018171,0.0031413,0.0001547,0.0000967,0.0000967,0.0197663
"29","Fayette",0.01783016,0.16267649,0.000757,0.1,0.0002163,0.0002163,0.0002703,0.0005948,0.001568,0.0022709,0.0002163,0.0000541,0.0000541,0.0116248
