"","County","PM10_mean","PM25_mean","NO2_mean","SO2_mean","O3_mean","CO_mean","BENZENE","TOLUENE","XYLENES","Pb","Hg","As","WaterCR","Cd","Air","PCB","HCB","EOx","VyCl","TRICHLORENE","C2CL4","DCM","C3H3N","Benzidine","24D","ATRAZINE","HCCPD","pct_manure_acres","Herbicides","Fungicides","Insecticides","Per_TotPopSS_ave","med_hh_inc","pct_pers_lt_pov","med_hh_value","pct_unemp","pct_hs_more","pct_mt_10units","med_rooms","violent_rate","work_out_co","Instances"
"1","Alamance",14.832671948,13.383235772,786.63370759,277.03078714,7408.2560103,1612.4982686,0.5,0.5,2.98,0.0016321458,0.0005235902,0.005,0.015,0.0000460051,0.0003474746,0.1,0.1,0.0039599248,0.0098164952,0.5,0.5,0.5,0.001518584,0.0000010536456,0.1,0.1,0.1,0.010544368,5495.94003,123.753,627.55659,43.76,39168,11.1,107200,5.1,76.5,4.6,5.2,553,25.1,"971"
"2","Alexander",15.587160246,12.615415594,925.3468323,279.2467971,7466.7363547,1448.1335169,0.5,0.5,1.05,0.0005070239,0.0005175041,0.005,0.02,0.000035049,0.000076594,0.1,0.1,0.0036751844,0.0000630496,0.5,0.5,0.5,0.0021166066,0.0000002939667,0.1,0.1,0.1,0.091146823,2006.672186,201.1205702,215.0423083,33.59,38684,8.5,95600,2.5,68.7,0.4,5.3,0,49.2,"200"
"3","Alleghany",13.708903759,12.129803152,996.06769295,277.01947905,7513.6169987,1337.0695643,0.5,1,1.8,0.0004983502,0.0005096612,0.005,0.01,0.0000424167,0.0001338415,0.1,0.1,0.0027874506,0.0001394127,0.5,0.5,0.5,0.0021127009,0.00000032090271,0.1,0.1,0.1,0.020499851,78.72318,14.28,12.29878333,70.36,29244,17.2,89700,4.6,68,1.2,5.3,389.48194,22.5,"71"
"4","Anson",12.514014332,11.915160314,857.62762283,250.94589533,6349.4215261,1284.1489569,0.5,0.5,0.5,0.0004493938,0.0005069763,0.004,0.053,0.0000301519,0.0000732212,0.1,0.1,0.0036582031,0.0000297323,0.5,0.5,0.5,0.0015731666,0.00000041018808,0.1,0.1,0.1,0.022471864,22862.92663,72.9738,2128.18674,14.52,29849,17.8,64300,6,70.2,0.5,5.3,712.71503,40.5,"138"
"5","Ashe",12.523020492,12.152638132,847.02933311,306.3097569,7263.2993949,1310.6001829,0.5,0.5,0.5,0.0004717517,0.0005228818,0.005,0.014,0.000042291,0.0001058939,0.1,0.1,0.0028733241,0.0000535781,0.5,0.5,0.5,0.0021952625,0.00000022028328,0.1,0.1,0.1,0.003503708,208.36557,117.3072,52.02577381,83.4,28824,13.5,91600,4.6,68.6,1.6,5.3,423.64092,25.2,"172"
"6","Avery",13.795065094,12.422300311,982.5059496,392.34961606,7103.129,1315.1606926,0.5,1.25,0.5,0.0004530925,0.0005071878,0.005,0.018,0.0000356523,0.000071797,0.1,0.1,0.0034269087,0.0002527784,0.5,0.5,0.5,0.0025152105,0.00000012573001,0.1,0.1,0.1,0.000429797,92.58336,57.12,22.90978333,41.35,30627,15.3,88000,7,70.6,9,5.2,515.76455,29,"105"
"7","Beaufort",8.5658791045,9.8805231317,191.2170323,460.85097485,5050.391558,1312.1646232,0.5,0.5,0.99,0.0006800961,0.0005166582,0.005,0.005,0.0000777634,0.0000634451,0.1,0.1,0.0013516228,0.0019740087,0.5,0.5,0.5,0.0008788565,0.00000045933723,0.1,0.1,0.1,0.004053383,190155.8241,1594.803855,18052.03516,25.67,31066,19.5,81900,6.4,75,1.3,5.4,0,23.7,"329"
"8","Bertie",9.9135685016,10.558167526,279.30818129,554.31469777,7410.2946613,1973.7624128,0.5,0.5,0.93,0.0005193537,0.0005085845,0.005,0.012,0.0000296196,0.0002320109,0.1,0.1,0.001249257,0.0002194079,0.5,0.5,0.5,0.0011766879,0.00000059950994,0.1,0.1,0.1,0.013297334,57319.29372,60.1512,5373.35633,29.87,25177,23.5,59200,7.1,63.8,0.3,5.4,562.41169,41.4,"117"
"9","Bladen",11.65697712,11.116479034,391.89734292,233.1716742,7302.7008379,989.44828632,0.5,0.5,1.73,0.0005644978,0.0005074342,0.005,0.012,0.0000371692,0.0000534318,0.1,0.1,0.0019266931,0.0000550888,0.5,0.5,0.5,0.0009489603,0.00000044749863,0.1,0.1,0.1,0.02029191,64108.83441,204.2486851,5873.543812,42.27,26877,21,65200,5.6,70.6,1.2,5.4,0,35.3,"177"
"10","Brunswick",9.1238682173,10.036045967,271.00269076,197.89033152,7983.0408397,1053.4530679,0.5,0.5,1.4,0.000611747,0.0005305233,0.005,0.02,0.0000362501,0.0000656706,0.1,0.1,0.0014673983,0.0022808739,0.5,0.5,0.5,0.0007508276,0.00000022354108,0.1,0.1,0.1,0.000934515,23112.01813,10.937,1742.1295,20.66,35888,12.6,127400,4.6,78.3,1.7,5.2,760.31112,34,"738"
