"","County","PM10_mean","PM25_mean","NO2_mean","SO2_mean","O3_mean","CO_mean","BENZENE","TOLUENE","XYLENES","Pb","Hg","As","WaterCR","Cd","Air","PCB","HCB","EOx","VyCl","TRICHLORENE","C2CL4","DCM","C3H3N","Benzidine","24D","ATRAZINE","HCCPD","pct_manure_acres","Herbicides","Fungicides","Insecticides","Per_TotPopSS_ave","med_hh_inc","pct_pers_lt_pov","med_hh_value","pct_unemp","pct_hs_more","pct_mt_10units","med_rooms","violent_rate","work_out_co"
"1","Autauga",15.072996226,12.058188137,123.65764816,10.661088423,522.38176744,4.4632250049,0,0,0,0.0009507804,0.0005120944,0,0,0.000046033,0.0011701615,0,0,0.0015003986,0.0060354099,0,0,0,0.0072332243,0.0000000066,0,0,0,0.008675242,4447.899199,10.08791875,453.3896169,10.82,42013,10.9,94800,4.9,78.7,1.3,5.8,428.29999,60.3
"2","Baldwin",19.994603348,11.119908741,247.74225267,17.146846827,540.78910553,12.875833095,3.25,0,1.98,0.0014055352,0.0005248871,0.002,0.01,0.0000369512,0.0003702359,0,0,0.0035013015,0.0062061226,0,0.5,0,0.0021328022,0.000000093588158,0,0,0,0.002299506,28916.14085,5828.502,1554.4908,19.58,40250,10.1,122500,4.3,82,12.4,5.3,482.54999,27.3
"3","Barbour",15.772306465,12.3604537,183.19362441,23.257118443,896.42302368,19.620538691,0,0,0,0.0009776435,0.0005050771,0,0,0.0000358638,0.0000752673,0,0,0.001469234,0.0000418689,0,0,0,0.0032792223,0.0000000066,0,0,0,0.014284165,5045.2767,9.557225,491.9932225,15.12,25101,26.8,68600,5.7,64.7,0.9,5.3,342.10001,16.5
"4","Bibb",14.921319112,12.239906361,127.77993545,7.6309533856,563.47732948,2.9519755921,0,0,0,0.0009574099,0.0005130169,0,0,0.0000461759,0.0001416096,0,0,0.0013758795,0.0001232253,0,0,0,0.0094026381,0.0000000066,0,0,0,0.000299444,773.265625,1.0786125,43.12981125,10.53,31420,20.6,74600,6.2,63.2,2,5.4,502.25555,59.4
"5","Blount",17.895014517,12.974280825,95.198093959,8.9137953499,561.93518525,9.3622154736,0,0,0,0.000678371,0.000513295,0,0,0.0000527715,0.0000894276,0,0,0.0015080439,0.0004782879,0,0,0,0.0161995588,0.000000012760861,0,0,0,0.035844317,3275.369531,19.97828372,207.78654,16.23,35241,11.7,86800,4.8,70.4,0.7,5.5,0,59.7
"6","Bullock",15.947660932,12.161147116,172.55000678,21.086399801,652.28221243,15.363596571,0,0,0,0.0006747424,0.0005041454,0,0,0.0000498227,0.0000531564,0,0,0.0014673517,0.000088996,0,0,0,0.0043958297,0.0000000066,0,0,0,0.016087715,1031.056461,5.711627907,112.9423,8.38,20605,33.5,56600,8.6,60.5,2.5,5.2,512.31066,33.9
"7","Butler",13.17690205,11.658882625,134.1369957,13.831403113,578.70347361,8.0189674864,0,0,0,0.0004445801,0.0005035144,0,0,0.0000295802,0.0000597269,0,0,0.0015258778,0.0001385941,0,0,0,0.003821059,0.0000000074079753,0,0,0,0.008735233,3212.301889,10.72325581,347.1468,13.21,24791,24.6,57700,10.6,67.8,1.5,5.4,547.43679,27.6
"8","Calhoun",16.170320949,13.149517108,176.69213907,22.162485995,531.52721395,25.999518829,0,0,0,0.0024618354,0.000513211,0,0,0.0000749434,0.0020083548,0,0,0.003059963,0.0096711747,0,0,0,0.0126178155,0.00000022946352,0,0,0,0.01117165,5061.685368,18.4686,318.15486,8.35,31768,16.1,71600,6.6,73.9,3.9,5.4,1453.1001,15.5
"9","Chambers",13.965673988,12.311209973,198.96216918,39.795169765,634.02587791,22.577125445,0,0,0,0.0006766922,0.0005075024,0,0,0.0000483569,0.000220315,0,0,0.00239135,0.0037928954,0,0,0,0.0070418766,0.0000000066,0,0,0,0.005528635,360.7903287,6.341627907,42.3358,17.19,29667,17,58900,6.5,64.2,0.9,5.4,604.44792,40
"10","Cherokee",16.779732625,13.437240635,221.71586877,34.67909386,838.1427024,80.696299033,0,0,0,0.0005872124,0.0005055586,0,0,0.0000397643,0.0000873899,0,0,0.002227512,0.0000360713,0,0,0,0.0123717712,0.00000001083672,0,0,0,0.004260772,12208.21591,27.3934,674.20634,20.61,30874,15.6,76100,3.9,63.5,0.8,5.2,564.30221,53.6
"11","Chilton",15.95845217,12.280853245,124.50183376,8.0449208302,534.52303053,3.216022669,0,0,0,0.0010266218,0.0005167147,0,0,0.0000473655,0.0001131363,0,0,0.0014005145,0.0001051292,0,0,0,0.008662922,0.0000000066,0,0,0,0.002854044,1803.29958,11.21325581,196.7609,29.27,32588,15.7,81800,4.3,66.2,0.4,5.4,0,52.7
"12","Choctaw",8.6370688019,11.793003147,134.77250329,21.079705882,641.07260713,18.186515863,0,0,0,0.0004969764,0.0005041497,0,0,0.0000282678,0.0000605464,0,0,0.0028217593,0.0004025908,0,0,0,0.0040619081,0.000000048734246,0,0,0,0.003481837,325.31185,NA,35.2308,56.02,24749,24.5,60500,8.8,65,1.2,5.4,492.72954,35.5
"13","Clarke",10.232834374,11.739789969,137.60803459,17.975359472,592.35342693,10.717814254,0,0,0,0.0003866109,0.0005077199,0,0,0.0000297867,0.000048764,0,0,0.0027320653,0.0000257124,0,0,0,0.0032701913,0.00000004871414,0,0,0,0.000138472,785.95305,0.98,89.011,19.51,27388,22.6,67900,8.9,70.8,2,5.4,513.33219,24.7
"14","Clay",16.098343505,13.288686797,164.38543591,20.857837917,485.97032198,12.275224791,0,0,0,0.0006053486,0.0005036317,0,0,0.0000436222,0.0001581575,0,0,0.0019016166,0.0000328567,0,0,0,0.0097361459,0.000000040641931,0,0,0,0.0124046,443.0096105,6.341627907,51.7606,53.75,27885,17.1,62200,5.5,66,0.6,5.3,556.77977,34.1
"15","Cleburne",14.355550052,13.253070647,256.76159609,37.772226077,592.32023539,43.44771805,0,0,0,0.0008590425,0.0005042686,0,0,0.0000412345,0.0001691027,0,0,0.0022947804,0.0000542587,0,0,0,0.0104786915,0.000000042672577,0,0,0,0.012975808,825.1944375,1.02930625,71.00720563,66.28,30820,13.9,71300,5.3,62.9,0.6,5.3,588.85909,60.1
"16","Coffee",15.69912972,11.78053196,170.5620339,14.787142779,789.65905643,16.285538149,0,0,0,0.0010381576,0.0005067794,0,0,0.0000361472,0.0002333339,0,0,0.0012885649,0.0041564662,0,0,0,0.0027825155,0.0000000066,0,0,0,0.073599242,10118.50416,12.98102791,1077.20844,21.27,33664,14.7,76600,5.7,73.2,1.3,5.5,341.70001,35.3
"17","Colbert",8.0111827508,11.647631511,100.40871277,2.0536583519,1178.5000586,81.244545635,0,0,0,0.0010391007,0.0011288179,0,0,0.0000949387,0.0002650996,0,0,0.0022468222,0.0066883176,0,0,0,0.0198941667,0.0000000066,0,0,0,0.010332981,19711.09456,53.04902791,1738.86804,11.23,31954,14,72300,5.2,73.3,2,5.7,232.8,34.9
"18","Conecuh",14.72082185,11.628707247,134.87028568,18.876578356,551.69882014,11.608423385,0,0,0,0.0003999675,0.0005037981,0,0,0.0000517681,0.0000470271,0,0,0.0018566197,0.0000261246,0,0,0,0.0029101495,0.000000019039603,0,0,0,0.000595668,3962.278138,1.02930625,410.7488056,26.49,22111,26.6,58600,9.8,67.7,1.2,5.4,540.63379,46.9
"19","Coosa",16.729706439,12.198915691,145.73477532,12.704444687,534.47303027,5.3807430309,0,0,0,0.0006662302,0.0005062979,0,0,0.0000634674,0.000083824,0,0,0.001548674,0.000047966,0,0,0,0.0087397371,0.0000000066,0,0,0,0.000164138,14.64905568,NA,1.0659,37.4,29873,14.9,59500,7.1,65.7,0.1,5.4,559.80909,75
"20","Covington",13.537269058,11.350422796,112.74204171,17.161273846,667.18739078,14.431715845,0,0,0,0.0004927967,0.0005047471,0,0,0.0000312895,0.000118057,0,0,0.0014191092,0.001136336,0,0,0,0.0024287437,0.0000000081578953,0,0,0,0.019611706,4230.603361,10.70102791,387.64224,23.16,26336,18.4,56700,7.6,68.4,1.2,5.3,516.35424,17.8
"21","Crenshaw",15.630347446,11.597354232,145.34594292,14.015488054,628.36533483,8.9966306271,0,0,0,0.0006911558,0.0005060035,0,0,0.0000498885,0.0000556317,0,0,0.001353451,0.000049186,0,0,0,0.003612554,0.0000000066,0,0,0,0.018948075,3533.907056,9.73930625,363.6973056,17.02,26054,22.1,51300,5.4,60.1,0.6,5.2,505.96169,51.4
"22","Cullman",14.60019556,12.715001629,83.978160884,7.313677262,622.29277204,10.764499763,0,0,0,0.000734591,0.0005138089,0,0,0.0000614728,0.0001330109,0,0,0.001642588,0.0030764014,0,0,0,0.0199544101,0.0000000066,0,0,0,0.082018726,11525.41891,1008.007,892.3415,6.6,32256,13,85000,4.1,70.4,2.3,5.3,106.2,28.5
"23","Dale",16.85907182,12.04819819,170.06589906,16.085032652,965.41172124,21.994927685,0,0,0,0.0020118851,0.0005057878,0,0,0.0000321327,0.0002336892,0,0,0.0015093498,0.0023326095,0,0,0,0.0023689759,0.0000000066,0,0,0,0.008936188,6613.540836,12.09024041,691.5431113,21.77,31998,15.1,69000,7.7,77.8,2,5.3,517.63063,35.6
"24","Dallas",12.188443649,11.840275874,135.74020438,11.590390418,541.72554692,5.4590323635,0,0,0,0.0008804431,0.0005125959,0,0,0.0000418156,0.000100686,0,0,0.0019369676,0.0065409802,0,0,0,0.005999163,0.0000000068932367,0,0,0,0.004198146,9092.9807,25.4116,657.72626,24.32,23370,31.1,64100,11.2,70.3,1.2,5.3,1783.1,13.8
"25","DeKalb",16.559496923,13.114905103,159.41058919,14.903909103,852.00973801,91.059544563,0,0,0,0.0006467505,0.0005110658,0,0,0.000039128,0.0000818864,0,0,0.0020093245,0.0000499506,0,0,0,0.0142107049,0.0000000066,0,0,0,0.080208935,53079.40186,2547.8936,3484.50016,18.62,30137,15.4,67200,5.1,63.8,0.8,5.4,383.10001,25.1
"26","Elmore",17.343488148,12.178011191,151.42569397,14.339202724,522.75084549,6.8878087087,0,0,0,0.001017391,0.0005060383,0,0,0.0000358468,0.0002628371,0,0,0.0016006908,0.0023103381,0,0,0,0.0074383346,0.0000000066,0,0,0,0.002253846,4967.169573,7.959546657,477.8515169,8.98,41243,10.2,98000,5,77.6,1.4,5.7,0,66.5
"27","Escambia",19.054083464,12.08189322,155.65645575,24.260070961,560.09421824,15.081307853,0,0,0,0.0005596286,0.0005140027,0,0,0.0001090235,0.00006044,0,0,0.002232761,0.0000976161,0,0,0,0.0023290147,0.0000000347398,0,0,0,0.002295503,7534.143571,26.40925581,790.2823,19.46,28319,20.9,66700,7,68.5,1.9,5.4,523.49916,22
"28","Etowah",19.884530684,14.304891004,142.4512237,15.845110533,646.69186216,27.585735346,0,0,0,0.0011937737,0.000522709,0,0,0.0000980705,0.0005940585,0,0,0.0030145272,0.0112979212,0,0,0,0.0147643974,0.00000012140206,0,0,0,0.028362756,4358.9206,49.3494,257.16384,9.91,31170,15.7,71200,6,74.1,2.9,5.6,1820.8,24.8
"29","Fayette",9.5056015523,11.990265908,129.43648382,6.6722806248,817.45526146,11.783025036,0,0,0,0.0008644862,0.000509458,0,0,0.0000397068,0.0000693873,0,0,0.0011442579,0.0000445159,0,0,0,0.0119665574,0.0000000066,0,0,0,0.008297383,7199.597721,14.84625581,644.6366,46.45,28539,17.3,64100,7.7,66.1,2.7,5.3,433.33643,40.4
"30","Franklin",8.2380756953,11.453935104,100.96777755,3.1002151095,929.90920861,50.977551284,0,0,0,0.0005280058,0.0005418091,0,0,0.0000362834,0.0000805707,0,0,0.0010851979,0.0000974506,0,0,0,0.0136032298,0.0000000066,0,0,0,0.046850107,5116.279179,13.21402791,309.81634,26.67,27177,18.9,62800,5.6,62.1,2.2,5.3,363.72467,34.9
"31","Geneva",14.071668872,11.438467261,160.81976616,15.383328971,1200.5676414,22.943725274,0,0,0,0.0006241478,0.0005027913,0,0,0.0000273666,0.0008367355,0,0,0.0011709148,0.0004512456,0,0,0,0.002104233,0.0000000066,0,0,0,0.023573804,13056.98485,27.8998,1428.32558,44.59,26448,19.6,55900,8,65.6,0.6,5.4,521.61429,49.4
"32","Greene",11.834196955,11.845006708,160.51270494,12.262885066,632.22729753,11.712695763,0,0,0,0.0005931197,0.0005216636,0,0,0.0000347922,0.000106113,0,0,0.0015685031,0.000055083,0,0,0,0.0072655024,0.0000000074788687,0,0,0,0.007235616,674.3636891,11.21325581,74.2385,44.31,19819,34.3,57000,13.1,64.8,3.2,5.2,479.56023,51.7
"33","Hale",14.538703668,12.065082219,145.29829487,10.133741005,573.00985143,6.8342491222,0,0,0,0.000710259,0.0005208922,0,0,0.0000341944,0.0000793845,0,0,0.001580566,0.000027508,0,0,0,0.0074525949,0.0000000067498047,0,0,0,0.002499162,7541.915559,14.4314,381.35194,30.41,25807,26.9,66300,8,65.2,1.5,5.3,455.85742,51.8
