"","County","PCT_HARVEST_ACRES","pct_irrigated_acres","farms_per_acres","pct_manure_acres","PCT_NEMATODE_ACRES","PCT_DISEASE_ACRES","PCT_DEFOLIATE_ACRES","PCT_AU","Herbicides","Fungicides","Insecticides","MEAN_AS","MEAN_SE","MEAN_HG","MEAN_PB","MEAN_ZN","MEAN_CU","MEAN_NA__PCT","MEAN_MG_PCT","MEAN_TI_PCT","MEAN_CA_PCT","MEAN_FE_PCT","MEAN_AL_PCT","MEAN_P_PCT","Facilities_per_pop","RADON_ZONE","Instances"
"1","Alamance",0.084178847,0.092243456,0.000449232,0.010544368,0.000790648,0.001164409,0.001460063,0.008305088,5495.94003,123.753,627.55659,2.62,0.246,0.047,21.192,49.46,21.804,1.174,0.581,0.634,2.266,4.048,5.798,0.034,0.000443425,3,"971"
"2","Alexander",0.10353329,0.044106749,0.000273144,0.091146823,0,0.000587853,0.000587853,0,2006.672186,201.1205702,215.0423083,1.806,0.124,0.042,21.113,33.857,7.148,0.207,0.246,0.62,0.305,1.997,3.134,0.028,0.00038687,2,"200"
"3","Alleghany",0.114965024,0.030119523,0.000159222,0.020499851,0.002919073,0.001804518,0,0.135338285,78.72318,14.28,12.29878333,1.566,0.129,0.035,22.214,61.792,11.469,0.677,0.651,0.8,0.954,4.28,4.764,0.019,0.000468296,1,"71"
"4","Anson",0.064823693,0.022221692,0.0000639975,0.022471864,0.001791224,0,0.00358968,0.059614861,22862.92663,72.9738,2128.18674,9.952,0.322,0.06,27.253,37.893,16.668,0.354,0.243,0.615,0.257,2.536,3.927,0.037,0.000435213,3,"138"
"5","Ashe",0.077758886,0.050747018,0.000336825,0.003503708,0,0.001142275,0.000743699,1.480936637,208.36557,117.3072,52.02577381,1.547,0.152,0.04,21.618,63.985,14.561,0.886,0.737,0.869,1.54,3.986,5.791,0.056,0.000451115,2,"172"
"6","Avery",0.062971512,0.022494792,0.000322347,0.000429797,0.000853273,0.010915568,0.004158914,0.026960824,92.58336,57.12,22.90978333,1.606,0.156,0.045,17.102,70.513,14.748,1.269,0.925,0.632,1.665,3.792,5.75,0.044,0.000116503,2,"105"
"7","Beaufort",0.244316137,0.021204065,0.0000603036,0.004053383,0.020082743,0.0204902,0.046547894,0.049750203,190155.8241,1594.803855,18052.03516,3.1,0.252,0.046,20.938,35.397,4.604,0.49,0.123,0.652,0.386,1.396,3.021,0.021,0.000422617,3,"329"
"8","Bertie",0.18117934,0.095870238,0.0000632403,0.013297334,0.031232293,0.039000314,0.059108632,0.013346717,57319.29372,60.1512,5373.35633,1.748,0.228,0.044,21.47,25.949,4.618,0.325,0.107,0.623,0.392,1.891,2.552,0.018,0.000556314,3,"117"
"9","Bladen",0.114401567,0.065486809,0.000184936,0.02029191,0.033205745,0.008260486,0.032291631,0.028631796,64108.83441,204.2486851,5873.543812,1.572,0.209,0.068,16.012,9.801,3.394,0.059,0.03,0.467,0.075,0.407,0.945,0.016,0.000433732,3,"177"
"10","Brunswick",0.030273521,0.014544504,0.0000848206,0.000934515,0.00689428,0.001910696,0.000604558,0.013903128,23112.01813,10.937,1742.1295,2.108,0.214,0.094,21.553,18.853,5.05,0.114,0.031,0.664,0.16,0.64,1.005,0.014,0.000300781,3,"738"
"11","Buncombe",0.041494582,0.039223534,0.00030549,0.010931343,0.0000781487,0.000847795,0.000589667,0.019735549,293.66742,93.5072,56.74275,0.757,0.117,0.033,23.902,66.143,14.528,0.723,0.585,0.788,0.959,3.543,5.722,0.044,0.000368342,1,"1,477"
"12","Burke",0.033930184,0.01074562,0.000188147,0.004879683,0,0.003116564,0.000194216,0.004193817,3636.374331,186.5087702,382.2132847,2.487,0.137,0.082,21.491,50.637,9.148,0.287,0.356,0.597,0.507,2.425,4.558,0.034,0.000482344,2,"551"
"13","Cabarrus",0.115344505,0.025874706,0.000209772,0.014782488,0.001318043,0.003468644,0,0.043631139,16411.36124,233.9408851,1501.229422,4.603,0.196,0.037,14.774,46.338,21.52,1.079,0.781,0.601,2.244,4.314,5.565,0.027,0.000427275,3,"936"
"14","Caldwell",0.028730445,0.017295589,0.000125187,0.006022159,0.002028549,0.001357292,0.0000955375,0.259214796,2511.418371,189.3203702,300.7862447,2.635,0.122,0.04,22.12,51.044,9.201,0.562,0.399,0.664,0.724,2.619,4.223,0.039,0.000749209,2,"470"
"15","Camden",0.280943327,0,0.0000102224,0.00046001,0.00314727,0.023767174,0.004947661,0.091963037,86583.5962,20317.0556,11920.11663,4.487,0.535,0.192,29.403,49.178,11.273,0.975,0.259,0.402,0.66,1.491,5.789,0.061,0,3,"57"
"16","Carteret",0.052200669,0.006936389,0.0000396298,0.0000641071,0.002051427,0.003158732,0.001614334,0.024046093,73897.04017,3468.679,7446.44348,4.319,0.571,0.099,19.404,143.1,6.703,0.417,0.233,0.462,0.498,1.704,2.738,0.022,0.000134719,3,"474"
"17","Caswell",0.059917169,0.199471034,0.000474115,0.006612078,0.003862212,0.001502579,0.001655755,0.130702006,2524.61287,63.983,262.03306,2.082,0.155,0.041,22.308,35.398,13.678,0.923,0.888,0.605,2.296,3.454,5.403,0.026,0.000170206,2,"144"
"18","Catawba",0.101830216,0.029412832,0.000200267,0.007772636,0.000113359,0.000842634,0,0.070323853,14414.30791,369.1775702,1142.791815,4.471,0.177,0.035,21.802,51.007,14.141,0.255,0.378,0.828,0.504,3.525,4.354,0.031,0.00094576,2,"908"
"19","Chatham",0.054187822,0.012902387,0.000178496,0.03044787,0.000749242,0.000720595,0,0.019978491,5154.78805,208.7426,512.71005,5.787,0.235,0.052,20.253,35.649,15.358,0.781,0.202,0.48,1.769,3.564,4.834,0.028,0.000405441,3,"424"
"20","Cherokee",0.017015139,0.001757762,0.000056918,0.001456432,0.000254457,0.0000703105,0.0000133925,0.044015171,1574.013247,318.92,244.3046067,1.969,0.151,0.018,15.459,51.653,7.5,0.258,0.314,0.646,0.154,2.365,3.259,0.016,0.000370401,1,"201"
"21","Chowan",0.296647968,0.173501725,0.000321461,0.012597242,0.079722258,0.05859961,0.135488995,0.108375751,15619.05812,138.4742851,1268.40189,3.24,0.351,0.048,27.644,40.343,6.607,0.516,0.162,0.564,0.341,1.637,4.014,0.027,0.000757263,3,"120"
"22","Clay",0.021284282,0.004214359,0.0000708296,0.007628343,0,0.0000354148,0.0000849955,0.006506908,1129.964547,9.52,101.2134767,1.034,0.118,0.039,16.502,62.066,11.069,0.275,0.429,0.779,0.447,3.855,3.452,0.018,0.00022792,2,"95"
"23","Cleveland",0.108114597,0.014944782,0.000183392,0.020476553,0.004638151,0.000183392,0.00178057,0.172343581,10944.5569,208.1436,821.78355,2.687,0.107,0.044,26.378,34.912,7.835,0.199,0.245,0.491,0.192,1.672,3.937,0.032,0.000436196,2,"642"
"24","Columbus",0.156605561,0.04757629,0.000149106,0.020593016,0.017668244,0.007298002,0.010555395,0.002300964,119663.5655,596.1922,10156.0863,2.104,0.242,0.026,10.378,10.67,3.194,0.059,0.035,0.404,0.05,0.463,1.049,0.013,0.000365303,3,"315"
"25","Craven",0.110582388,0.022702612,0.0000968817,0.001965891,0.014540329,0.009690189,0.034467684,0.102062735,39623.14063,101.9844,3525.909664,2.298,0.17,0.023,18.406,18.987,2.811,0.199,0.048,0.592,0.203,0.775,1.57,0.015,0.000273415,3,"604"
"26","Cumberland",0.102874985,0.082749901,0.000218312,0.006212412,0.011245463,0.00227567,0.01685277,0.118388456,37057.23982,165.9696,3065.27217,2.547,0.139,0.078,22.475,16.697,5.895,0.054,0.04,0.737,0.083,0.733,1.466,0.027,0.000828484,3,"1,305"
"27","Currituck",0.085536954,0.009975744,0.0000475602,0.002089675,0.000915171,0.004592528,0.000865001,0.026134399,44138.06784,410.6456851,4050.007962,4.643,0.716,0.336,40.553,57.118,13.835,0.781,0.306,0.441,0.641,1.756,5.94,0.069,0.000164926,3,"127"
"28","Dare",0.002095328,0.000007,0.000004,0,0,0,0,0.053022942,1876.03524,20.0646,96.33739381,2.158,0.185,0.034,12.557,21.832,4.592,1.408,0.226,0.32,0.743,1.049,4.671,0.02,0.00013348,3,"216"
"29","Davidson",0.105617689,0.035930029,0.000308767,0.018798962,0.000341849,0.001692706,0.000237089,0.040273788,19044.00005,105.6122,1584.75381,3.936,0.196,0.034,28.481,49.591,17.412,0.732,0.523,0.714,2.303,3.612,5.996,0.022,0.000448229,3,"1,000"
"30","Davie",0.162356214,0.039447432,0.000351268,0.011744071,0,0.000848898,0.000632283,0.031912629,19058.22916,367.9238553,1760.295507,1.303,0.111,0.034,31.195,71.843,10.643,0.693,1.211,0.801,2.479,7.814,4.895,0.017,0.000315774,3,"299"
"31","Duplin",0.269639075,0.20024783,0.000579898,0.05660679,0.061183022,0.038235097,0.038492617,0.009475494,154781.4315,768.8516,14324.5648,2.795,0.46,0.061,17.296,21.438,4.972,0.034,0.054,0.649,0.086,0.753,1.502,0.034,0.000428021,3,"320"
"32","Durham",0.023663908,0.066983025,0.000314819,0.002340156,0.001825951,0.00076606,0.001957126,0.053986379,559.06859,21.513,58.32211,2.561,0.202,0.04,19.73,33.357,11.82,0.899,0.222,0.426,0.805,2.123,4.564,0.021,0.000394064,3,"1,224"
"33","Edgecombe",0.296976169,0.196973454,0.000157305,0.008731962,0.045825067,0.035961127,0.093466851,0.021330122,47226.68422,111.0582,3959.376927,3.877,0.389,0.03,26.213,32.281,4.925,0.115,0.08,0.611,0.116,1.39,2.517,0.029,0.000557494,3,"312"
"34","Forsyth",0.069977992,0.015707492,0.000344346,0.003276967,0.002308256,0.002270416,0.002921268,0.016540457,9265.612181,204.5285702,672.0709147,2.828,0.11,0.037,37.447,42.932,9.325,0.97,0.534,0.656,1.528,3.211,6.107,0.028,0.000401873,2,"2,030"
"35","Franklin",0.106464445,0.201928618,0.000372784,0.007461989,0.007244005,0.004953598,0.002795876,0.007417466,18533.58058,217.8452,1184.37336,3.078,0.149,0.044,34.457,32.183,7.388,0.586,0.12,0.463,0.653,1.827,4.739,0.026,0.000275074,2,"350"
"36","Gaston",0.05717648,0.009464227,0.000176219,0.013035876,0,0.0000171921,0.00087307,0.097623282,834.21554,13.4616,59.94975,1.611,0.103,0.041,30.601,50.426,16.14,0.417,0.383,0.556,0.805,3.248,4.347,0.026,0.000488535,2,"1,220"
"37","Gates",0.222592954,0.055799696,0.0000497323,0.012451172,0.030390987,0.05726454,0.070280852,0.158678321,28403.84782,131.5062,2432.303424,3.814,0.295,0.064,27.345,32.75,5.673,0.287,0.111,0.591,0.212,1.305,2.983,0.028,0.00028528,3,"54"
"38","Graham",0.006030338,0,0.0000362649,0.000279758,0.003190054,0.000103614,0.0000362649,0.131304458,455.39886,33.32,60.8237,2.362,0.18,0.031,16.171,78.733,9.285,0.523,0.436,0.714,0.197,2.852,4.856,0.028,0.000375328,2,"38"
"39","Granville",0.061229173,0.170158044,0.00043681,0.001016312,0.00334888,0.004705904,0.003255694,0.001777774,5137.850841,288.1097702,535.8845647,3.469,0.261,0.042,23.412,49.658,13.652,0.638,0.308,0.618,1.059,3.026,4.313,0.023,0.000556724,3,"336"
"40","Greene",0.410402328,0.210631041,0.00043486,0.036058144,0.06407725,0.042263718,0.091467571,0.164787505,57747.46703,322.3175702,4599.340065,2.088,0.219,0.029,14.62,17.432,4.119,0.025,0.035,0.68,0.038,0.773,1.118,0.023,0.000316222,3,"96"
"41","Guilford",0.080906949,0.078410084,0.000384864,0.007937224,0.001394538,0.001031055,0.001427798,0.083807389,13660.38362,285.2788,1388.04,1.732,0.139,0.047,14.269,39.137,18.374,1.04,0.488,0.571,2.123,3.099,5.122,0.019,0.000593757,3,"2,693"
"42","Halifax",0.222040148,0.090722636,0.0000982772,0.006289738,0.033337321,0.033315957,0.063563957,0.032803038,27149.87494,266.9132851,2011.972412,2.311,0.14,0.039,25.405,29.891,4.783,0.181,0.079,0.698,0.286,1.99,1.831,0.008,0.000366045,3,"361"
"43","Harnett",0.138055047,0.115993473,0.000343007,0.024834213,0.055572302,0.011997443,0.04698154,0.0020439,30006.94679,132.9322,1695.43123,3.314,0.161,0.045,21.376,28.234,7.266,0.151,0.08,0.55,0.179,1.178,2.111,0.022,0.000197748,3,"556"
