"","County","PCT_HARVEST_ACRES","pct_irrigated_acres","farms_per_acres","pct_manure_acres","PCT_NEMATODE_ACRES","PCT_DISEASE_ACRES","PCT_DEFOLIATE_ACRES","PCT_AU","Herbicides","Fungicides","Insecticides","MEAN_AS","MEAN_SE","MEAN_HG","MEAN_PB","MEAN_ZN","MEAN_CU","MEAN_NA__PCT","MEAN_MG_PCT","MEAN_TI_PCT","MEAN_CA_PCT","MEAN_FE_PCT","MEAN_AL_PCT","MEAN_P_PCT","Facilities_per_pop","RADON_ZONE"
"1","Autauga",0.06755108,0.035517826,0.0000594549,0.008675242,0.004903347,0.007351725,0.017216064,0.047764349,4447.899199,10.08791875,453.3896169,3.205,0.152,0.049,26.313,34.188,5.424,0.031,0.057,0.695,0.056,2.127,1.485,0.013,0.000251883,2
"2","Baldwin",0.057400539,0.023432143,0.0000932753,0.002299506,0.010982588,0.011525281,0.011218475,0.027131601,28916.14085,5828.502,1554.4908,3.045,0.324,0.027,19.199,16.744,4.587,0.017,0.039,0.412,0.031,0.857,1.481,0.017,0.000291992,3
"3","Barbour",0.054106736,0.052681602,0.000039731,0.014284165,0.003036832,0.007909927,0.009637363,0.044465469,5045.2767,9.557225,491.9932225,2.735,0.211,0.022,12.959,12.43,3.276,0.026,0.027,0.47,0.032,0.847,1.048,0.02,0.00058544,2
"4","Bibb",0.011900413,0.001911452,0.0000224583,0.000299444,0.003155568,0.0000149722,0,0.013178383,773.265625,1.0786125,43.12981125,3.967,0.185,0.034,21.179,30.435,5.866,0.032,0.101,0.512,0.391,1.558,1.677,0.011,0.000336118,2
"5","Blount",0.06773315,0.013682082,0.0000960652,0.035844317,0.004128401,0.001292077,0.014349735,0.149246054,3275.369531,19.97828372,207.78654,4.945,0.25,0.024,13.343,32.775,7.629,0.063,0.13,0.234,0.216,1.337,2.297,0.018,0.000117592,2
"6","Bullock",0.02454587,0.013427227,0.0000399323,0.016087715,0.004734096,0.003461629,0.008000806,0.030892734,1031.056461,5.711627907,112.9423,2.28,0.158,0.03,13.876,12.883,2.589,0.059,0.048,0.409,0.129,0.7,1.34,0.015,0.000170736,2
"7","Butler",0.025291804,0,0.00000803,0.008735233,0,0.000401712,0,0.046672905,3212.301889,10.72325581,347.1468,2.392,0.117,0.01,14.176,13.981,1.656,0.038,0.043,0.388,0.077,0.781,0.725,0.011,0.000327118,3
"8","Calhoun",0.047825279,0.019306694,0.000109726,0.01117165,0,0.000765531,0.003505859,0.052328467,5061.685368,18.4686,318.15486,5.627,0.344,0.051,24.592,41.516,11.235,0.113,0.227,0.272,0.493,1.818,2.904,0.027,0.000668157,1
"9","Chambers",0.020598958,0.008256682,0.0000336796,0.005528635,0,0,0,0.040885127,360.7903287,6.341627907,42.3358,1.794,0.158,0.057,25.143,40.203,8.879,0.452,0.357,0.714,0.715,4.003,3.774,0.014,0.000410027,3
"10","Cherokee",0.095411597,0.035698287,0.0000520877,0.004260772,0.010592029,0.000781315,0.027715851,0.055367736,12208.21591,27.3934,674.20634,5.594,0.407,0.073,22.07,47.678,9.595,0.062,0.15,0.47,0.132,2.098,2.604,0.024,0.000208438,2
"11","Chilton",0.040244253,0.012885564,0.0000869592,0.002854044,0.00281964,0.004637822,0.00160763,0.04082565,1803.29958,11.21325581,196.7609,2.604,0.198,0.046,21.766,35.745,6.844,0.071,0.081,0.492,0.143,1.756,1.577,0.01,0.000176799,2
"12","Choctaw",0.008229489,0.000524312,0.00000679,0.003481837,0.0000203616,0.0000305424,0,0.012171357,325.31185,NA,35.2308,2.063,0.123,0.018,13.154,12.179,2.237,0.065,0.052,0.392,0.06,0.688,0.853,0.009,0.000125612,3
"13","Clarke",0.008616448,0.000827089,0.00000748,0.000138472,0,0,0,0.008735297,785.95305,0.98,89.011,2.061,0.158,0.011,12.063,11.243,1.873,0.049,0.041,0.358,0.052,0.581,0.646,0.009,0.000179424,3
"14","Clay",0.019474526,0.005430074,0.0000464109,0.0124046,0,0.0000309406,0,0.059714752,443.0096105,6.341627907,51.7606,4.412,0.251,0.046,20.638,39.752,12.029,0.229,0.196,0.588,0.245,2.381,2.699,0.023,0.000420934,1
"15","Cleburne",0.013555109,0,0.0000111404,0.012975808,0,0.0000306362,0,0.063612336,825.1944375,1.02930625,71.00720563,3.306,0.273,0.045,19.627,46.626,9.015,0.276,0.305,0.481,0.207,2.717,3.551,0.018,0.000354032,1
"16","Coffee",0.131885305,0.06495415,0.0000918469,0.073599242,0.028353148,0.029799737,0.01677125,0.117291271,10118.50416,12.98102791,1077.20844,3.499,0.174,0.015,13.688,13.34,2.566,0.01,0.027,0.363,0.031,0.999,1.008,0.017,0.000412702,3
"17","Colbert",0.118152772,0.016684607,0.0000200446,0.010332981,0.003168472,0.000751672,0.022730553,0.054091297,19711.09456,53.04902791,1738.86804,5.833,0.204,0.026,22.512,46.433,15.496,0.061,0.131,0.288,0.339,1.523,2.687,0.02,0.000872981,1
"18","Conecuh",0.023319008,0.000986059,0.00000733,0.000595668,0.000109969,0,0.028868796,0.027204017,3962.278138,1.02930625,410.7488056,1.636,0.113,0.011,9.456,8.754,1.279,0.01,0.019,0.261,0.026,0.427,0.388,0.007,0.000354887,3
"19","Coosa",0.009252694,0.002722346,0.0000328276,0.000164138,0,0.00000703,0.0000844138,0.012457985,14.64905568,NA,1.0659,3.109,0.44,0.041,20.439,38.138,9.617,0.304,0.213,0.506,0.433,2.365,3.259,0.02,0.000327815,1
