"","County","pct_rent_occ","pct_vac_units","med_hh_value","med_hh_inc","pct_pers_lt_pov","pct_no_eng","pct_hs_more","pct_unemp","work_out_co","med_rooms","pct_mt_10units","violent_rate","Instances","Instance Rate"
"1","Alamance",29.86973,6.993852,107200,39168,11.1,9.3,76.5,5.1,25.1,5.2,4.6,553,"1,121",531.7
"2","Alexander",19.48695,6.81657,95600,38684,8.5,4,68.7,2.5,49.2,5.3,0.4,0,"240",456.8
"3","Alleghany",21.03201,28.36868,89700,29244,17.2,6.1,68,4.6,22.5,5.3,1.2,389.48194,"69",339.2
"4","Anson",24.04389,9.950103,64300,29849,17.8,2.8,70.2,6,40.5,5.3,0.5,712.71503,"168",490.8
"5","Ashe",18.97032,21.53301,91600,28824,13.5,3.3,68.6,4.6,25.2,5.3,1.6,423.64092,"189",401.7
"6","Avery",19.48867,45.15993,88000,30627,15.3,4.7,70.6,7,29,5.2,9,515.76455,"98",357.7
"7","Beaufort",24.90857,17.25462,81900,31066,19.5,4.7,75,6.4,23.7,5.4,1.3,0,"320",428.8
"8","Bertie",25.08072,14.44199,59200,25177,23.5,2.3,63.8,7.1,41.4,5.4,0.3,562.41169,"136",475.3
"9","Bladen",22.20671,15.79394,65200,26877,21,5.1,70.6,5.6,35.3,5.4,1.2,0,"235",490
"10","Brunswick",17.80012,40.81779,127400,35888,12.6,4.8,78.3,4.6,34,5.2,1.7,760.31112,"1,232",473.6
"11","Buncombe",29.72976,8.722718,119600,36666,11.4,5.9,81.9,4.8,10.6,5.2,4.9,668.5,"1,669",465.4
"12","Burke",25.86596,7.745745,85900,35629,10.7,8.1,67.6,4.2,31,5.1,1.7,184.39999,"617",471.3
"13","Cabarrus",25.33371,6.299198,118200,46140,7.1,7.2,78.2,4.2,46.9,5.4,5.1,355.25,"1,122",493.9
"14","Caldwell",25.0845,7.962908,86700,35739,10.7,3.5,66.2,3.4,30.9,5.2,2.5,265,"574",486.6
"15","Camden",16.52892,10.46081,103100,39493,10.1,2.6,82.1,3.7,76.3,6,0.3,561.8566,"38",268.8
"16","Carteret",23.36534,38.44726,123900,38344,10.7,3.9,82.1,5,25.3,5.2,5.9,0,"560",473
