"","County","pct_rent_occ","pct_vac_units","med_hh_value","med_hh_inc","pct_pers_lt_pov","pct_no_eng","pct_hs_more","pct_unemp","work_out_co","med_rooms","pct_mt_10units","violent_rate"
"1","Autauga",19.17141,9.393047,94800,42013,10.9,2.8,78.7,4.9,60.3,5.8,1.3,428.29999
"2","Baldwin",20.4207,25.50851,122500,40250,10.1,4,82,4.3,27.3,5.3,12.4,482.54999
"3","Barbour",26.84216,16.46738,68600,25101,26.8,3.6,64.7,5.7,16.5,5.3,0.9,342.10001
"4","Bibb",19.80865,11.0725,74600,31420,20.6,1.8,63.2,6.2,59.4,5.4,2,502.25555
"5","Blount",16.51181,8.94697,86800,35241,11.7,5.6,70.4,4.8,59.7,5.5,0.7,0
"6","Bullock",25.56448,15.6759,56600,20605,33.5,6.1,60.5,8.6,33.9,5.2,2.5,512.31066
"7","Butler",23.81519,15.65733,57700,24791,24.6,2.2,67.8,10.6,27.6,5.4,1.5,547.43679
"8","Calhoun",27.50568,11.72012,71600,31768,16.1,3.5,73.9,6.6,15.5,5.4,3.9,1453.1001
"9","Chambers",24.30795,10.66683,58900,29667,17,2.3,64.2,6.5,40,5.4,0.9,604.44792
"10","Cherokee",18.28377,30.70232,76100,30874,15.6,2.1,63.5,3.9,53.6,5.2,0.8,564.30221
"11","Chilton",17.76673,13.39301,81800,32588,15.7,3.6,66.2,4.3,52.7,5.4,0.4,0
"12","Choctaw",13.65708,18.82893,60500,24749,24.5,2.1,65,8.8,35.5,5.4,1.2,492.72954
"13","Clarke",18.85044,16.25366,67900,27388,22.6,2.1,70.8,8.9,24.7,5.4,2,513.33219
"14","Clay",22.79272,12.81004,62200,27885,17.1,2.8,66,5.5,34.1,5.3,0.6,556.77977
"15","Cleburne",19.57066,9.678462,71300,30820,13.9,2.6,62.9,5.3,60.1,5.3,0.6,588.85909
"16","Coffee",28.61489,12.17926,76600,33664,14.7,5.1,73.2,5.7,35.3,5.5,1.3,341.70001
"17","Colbert",24.28654,10.08407,72300,31954,14,2.3,73.3,5.2,34.9,5.7,2,232.8
"18","Conecuh",18.93992,20.27529,58600,22111,26.6,2,67.7,9.8,46.9,5.4,1.2,540.63379
"19","Coosa",15.18582,23.77076,59500,29873,14.9,1.8,65.7,7.1,75,5.4,0.1,559.80909
"20","Covington",22.28261,15.8144,56700,26336,18.4,2,68.4,7.6,17.8,5.3,1.2,516.35424
"21","Crenshaw",23.36382,16.0596,51300,26054,22.1,1.8,60.1,5.4,51.4,5.2,0.6,505.96169
"22","Cullman",21.93382,12.84875,85000,32256,13,3.4,70.4,4.1,28.5,5.3,2.3,106.2
"23","Dale",35.7612,13.32017,69000,31998,15.1,6.2,77.8,7.7,35.6,5.3,2,517.63063
"24","Dallas",34.30862,12.75795,64100,23370,31.1,2.5,70.3,11.2,13.8,5.3,1.2,1783.1
"25","DeKalb",21.27185,10.47378,67200,30137,15.4,6.6,63.8,5.1,25.1,5.4,0.8,383.10001
"26","Elmore",18.60404,11.64264,98000,41243,10.2,3.1,77.6,5,66.5,5.7,1.4,0
"27","Escambia",22.93488,13.58196,66700,28319,20.9,2.4,68.5,7,22,5.4,1.9,523.49916
"28","Etowah",25.61096,9.451902,71200,31170,15.7,3,74.1,6,24.8,5.6,2.9,1820.8
"29","Fayette",22.78126,11.55571,64100,28539,17.3,1.5,66.1,7.7,40.4,5.3,2.7,433.33643
"30","Franklin",25.68725,10.83715,62800,27177,18.9,7.7,62.1,5.6,34.9,5.3,2.2,363.72467
"31","Geneva",19.38532,13.52043,55900,26448,19.6,2.1,65.6,8,49.4,5.4,0.6,521.61429
