"","County","D303_Percent","SEWAGENPDESperKM","INDNPDESperKM","STORMNPDESperKM","numDays_Close_Activity_tot","numDays_Cont_Activity_tot","numDays_Rain_Activity_tot","Per_TotPopSS_ave","CaAve","MgAve","Kave","NaAve","NH4Ave","NO3Ave","ClAve","SO4Ave","HgAve","AvgOfD3_ave","As","Ba","Cd","Cr","CN","FL","HG","NO3","NO2","SE","SB","BE","TI","ENDRIN","LINDANE","METHOXYCHLOR","TOXAPHENE","DALAPON","DEHA","OXAMYL","SIMAZINE","DEHP","PICLORAM","DINOSEB","HCCPD","CARBOFURAN","ATRAZINE","ALACHLOR","HEPTACHLOR","HEPTACHLOR_EPOX","24D","HCB","BENZOAP","PCP","124TCIB","PCB","DBCP","EDB","XYLENES","CHLORDANE","DCM","ODCB","PDCB","VCM","11DCE","T12DCE","EDC","111TRICHLORANE","CCL4","PDC","TRICHLORENE","112TCA","C2CL4","BENZENE","CL1BENZ","TOLUENE","ETHYLBENZ","STRYENE","DCE","ALPHA","SILVEX","Instances","Instance Rate"
"1","Alamance",3.92,0,99.89,7.01,0,0,0,43.76,0.0851,0.032,0.1057,0.1283,0.2558,0.914,0.2594,1.5227,5.9378,6.71,0.005,0.21,0.001,0.015,0.028,0.34,0,0.85,0.17,0.008,0.003,0,0.001,0.01,0.21,0.1,1,1,0.94,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,2.98,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.82,0.7,0.5,2.2,0.2,"1,121",531.7
"2","Alexander",NA,0,40.43,0,0,0,0,33.59,0.0917,0.0251,0.118,0.0727,0.2002,0.8623,0.1604,1.6206,6.915,12.45,0.005,0.4,0.001,0.02,0.04,0.14,0,0.87,0.1,0.01,0.003,0,0.001,0.01,0.4,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.05,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"240",456.8
"3","Alleghany",NA,0,18.49,0,0,0,0,70.36,0.1056,0.0231,0.1196,0.0551,0.1946,0.9097,0.129,1.5635,6.9697,7.08,0.005,0.02,0.001,0.01,0.04,0.1,0,0.82,0.1,0.01,0.003,0,0.001,0.01,0.02,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.8,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.2,"69",339.2
"4","Anson",9.08,1.53,23.02,0.77,0,0,0,14.52,0.0925,0.0322,0.1078,0.1451,0.2433,0.9105,0.2847,1.5385,4.6064,7.92,0.004,0.02,0.001,0.053,0.005,0.85,0,1.38,0,0.004,0.002,0,0.001,0.01,0.02,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.2,"168",490.8
"5","Ashe",1.92,0,33.33,0,0,0,0,83.4,0.1012,0.0208,0.1054,0.0504,0.1896,0.883,0.1145,1.4844,7.1059,7.29,0.005,0.15,0.001,0.014,0.02,0.31,0,0.65,0.1,0.006,0.003,0,0.001,0.01,0.15,0.1,1,1,0.73,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.03,0.2,"189",401.7
"6","Avery",2,0,81.31,0,0,0,0,41.35,0.0878,0.0193,0.0869,0.055,0.1704,0.7606,0.1095,1.3178,6.8889,10.94,0.005,0.35,0.001,0.018,0.037,0.15,0,1.04,0.1,0.01,0.003,0,0.001,0.01,0.35,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.25,0.5,0.5,0.5,1.73,0.2,"98",357.7
"7","Beaufort",0.82,5.07,31.46,2.54,0,6,0,25.67,0.0942,0.0604,0.0988,0.3828,0.1914,0.7032,0.6746,1.0432,3.4956,0,0.005,0.1,0.001,0.005,0.04,0.32,0,0.96,0,0.01,0.003,0,0.001,0.01,0.1,0.1,1,1.1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.99,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"320",428.8
"8","Bertie",22.35,3.82,22.18,1.53,0,0,0,29.87,0.089,0.0396,0.0958,0.2355,0.1908,0.763,0.4198,1.1379,3.7644,0.28,0.005,0.29,0.001,0.012,0.04,1.23,0,0.64,0,0.01,0.003,0,0.001,0.01,0.29,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.93,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.77,0.2,"136",475.3
"9","Bladen",7.91,43.95,16.8,1.29,0,0,0,42.27,0.0885,0.0416,0.0836,0.2645,0.2285,0.7822,0.4788,1.2475,3.8956,0.78,0.005,0.19,0.001,0.012,0.036,0.36,0,1.19,0.07,0.008,0.003,0,0.001,0.01,0.19,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.73,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5,0,0.2,"235",490
"10","Brunswick",2.26,3.84,29.83,3.41,0,2,0,20.66,0.1026,0.0845,0.125,0.4597,0.206,0.7247,0.8058,1.2076,3.7705,0.46,0.005,0.4,0.001,0.02,0.04,0.12,0,0.5,0.09,0.01,0.003,0,0.001,0.01,0.4,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.4,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"1,232",473.6
